route_key,rows,beats_zero_rmse,beats_zero_mae,sparse_stage_b,min_move_delta,min_stage_b_moves,stage,rank,feature,metric_name,metric_value,is_route_engineered_feature
DAC-SPD,835,False,False,False,200.0,5,stage_a,14,num__dac_spd_days_to_departure,importance,0.022219969278414603,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,15,num__open_seat_sum,importance,0.021954016899915458,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,1,num__fare_ladder_spread_per_step,coef,380.5495209567152,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,2,num__fare_ladder_spread_per_open_bucket,coef,256.22082559060703,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,3,cat__lowest_bucket_code_adt1_SV,coef,247.2778360082684,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,4,cat__lowest_open_bucket_code_SV,coef,247.2778360082684,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,5,num__dep_time_min,coef,-229.610576391126,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,6,cat__lowest_bucket_code_adt1_FL,coef,-167.92629214293927,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,7,cat__lowest_open_bucket_code_FL,coef,-167.92629214293927,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,8,num__max_bucket_seat_proxy,coef,165.59246938467606,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,9,cat__search_tod_bin_dac_spd_morning_peak,coef,-136.4328314230423,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,10,cat__search_tod_bin_morning_peak,coef,-136.4328314230423,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,11,num__probe_has_adt2,coef,135.19471328655857,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,12,cat__dep_tod_bin_dac_spd_evening,coef,-120.46641864351135,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,13,cat__dep_tod_bin_evening,coef,-120.46641864351135,True
DAC-SPD,835,False,False,False,200.0,5,stage_b,14,cat__inventory_proxy_quality_good,coef,119.84537026134404,False
DAC-SPD,835,False,False,False,200.0,5,stage_b,15,cat__inventory_proxy_quality_mixed,coef,-116.49927548266454,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,1,num__has_bucket_seat_info,importance,0.07244467872610277,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,2,num__hours_to_departure,importance,0.06755025093850209,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,3,cat__inventory_proxy_quality_mixed,importance,0.05733623335878401,False
